                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     52,                 1.0738,                0.83489,                 1.3473,                 1.1613,                0.93768,                 1.3724,                0.88585,                0.79117,                0.88706,                0.59397,                 1.1623,                0.70115,                 1.4892,                 1.2282,                0.70112,                 1.5285,                0.00505,                0.00505,                0.00505
                     53,                 1.0744,                0.84315,                 1.3512,                 1.1636,                0.95119,                 1.3705,                0.86734,                0.80448,                0.88703,                0.59508,                 1.1822,                0.68673,                 1.5044,                  1.236,                0.70467,                 1.5164,               0.004951,               0.004951,               0.004951
                     54,                 1.0623,                  0.821,                 1.3369,                 1.1491,                 0.9238,                 1.3519,                0.88723,                0.79537,                0.88704,                0.59302,                 1.1703,                0.68806,                 1.4885,                 1.2314,                0.70155,                 1.4949,               0.004852,               0.004852,               0.004852
                     55,                 1.0687,                0.82623,                  1.338,                 1.1634,                0.93033,                 1.3552,                0.89478,                0.78486,                0.88921,                 0.6009,                  1.162,                0.68849,                 1.4751,                 1.2095,                0.70863,                 1.4819,               0.004753,               0.004753,               0.004753
                     56,                 1.0641,                 0.8222,                 1.3354,                 1.1572,                 0.9161,                 1.3614,                0.88025,                0.80448,                0.89083,                0.59447,                 1.1562,                0.67852,                 1.4867,                 1.2147,                0.70163,                 1.5148,               0.004654,               0.004654,               0.004654
                     57,                 1.0624,                0.82589,                 1.3384,                 1.1555,                0.92795,                  1.359,                0.86468,                0.81499,                0.89421,                0.60228,                 1.1515,                 0.6797,                 1.4714,                 1.2049,                0.69347,                 1.4812,               0.004555,               0.004555,               0.004555
                     58,                 1.0458,                0.80019,                 1.3322,                 1.1345,                0.90126,                 1.3519,                0.87888,                0.80346,                0.88959,                0.59723,                 1.1679,                0.68305,                  1.489,                 1.2158,                0.68984,                 1.5063,               0.004456,               0.004456,               0.004456
                     59,                 1.0477,                0.80702,                  1.329,                 1.1232,                0.92186,                  1.345,                0.87685,                0.79187,                0.88976,                0.59616,                 1.1652,                0.68571,                 1.4888,                 1.2107,                0.69574,                 1.5128,               0.004357,               0.004357,               0.004357
                     60,                 1.0362,                0.79551,                 1.3181,                  1.126,                0.89615,                 1.3388,                0.86563,                0.81258,                0.89291,                0.59932,                 1.1537,                0.67506,                 1.4794,                 1.2007,                0.71109,                 1.4844,               0.004258,               0.004258,               0.004258
                     61,                 1.0396,                0.78493,                 1.3229,                 1.1226,                0.88034,                 1.3422,                0.87339,                0.81009,                0.89476,                0.60189,                 1.1567,                0.67359,                 1.4875,                  1.212,                0.68681,                 1.4979,               0.004159,               0.004159,               0.004159
                     62,                 1.0416,                0.79146,                 1.3249,                 1.1209,                0.89515,                  1.344,                0.86419,                0.81079,                0.88941,                0.60097,                 1.1603,                0.66935,                 1.4769,                 1.2075,                 0.7082,                 1.4874,                0.00406,                0.00406,                0.00406
                     63,                 1.0289,                0.78519,                 1.3104,                 1.1136,                0.88299,                 1.3339,                0.88045,                0.80799,                0.89489,                0.60376,                 1.1489,                0.66631,                 1.4748,                 1.1969,                0.69206,                 1.4844,               0.003961,               0.003961,               0.003961
                     64,                 1.0293,                0.78005,                 1.3123,                 1.1104,                0.87624,                 1.3316,                0.88748,                 0.8157,                0.89413,                0.60469,                 1.1438,                0.66155,                 1.4719,                 1.1916,                0.69799,                 1.4849,               0.003862,               0.003862,               0.003862
                     65,                 1.0277,                0.77138,                 1.3098,                  1.111,                0.86069,                 1.3288,                0.90469,                0.79825,                0.89473,                0.60412,                 1.1518,                  0.661,                 1.4703,                 1.1937,                0.69167,                 1.4742,               0.003763,               0.003763,               0.003763
                     66,                 1.0326,                0.77197,                 1.3151,                 1.1132,                0.87305,                 1.3336,                0.90213,                0.80308,                0.89706,                0.60946,                 1.1385,                0.66296,                 1.4622,                 1.1879,                0.67512,                 1.4772,               0.003664,               0.003664,               0.003664
                     67,                 1.0167,                0.76687,                 1.3045,                 1.1013,                 0.8701,                 1.3281,                0.89353,                0.80519,                0.89627,                 0.6107,                 1.1402,                0.64627,                 1.4724,                 1.1877,                0.67405,                  1.487,               0.003565,               0.003565,               0.003565
                     68,                  1.005,                0.75171,                 1.2937,                 1.0924,                0.84788,                 1.3197,                0.88767,                0.81009,                0.89515,                0.61183,                 1.1403,                0.65065,                 1.4646,                  1.195,                0.66439,                 1.4822,               0.003466,               0.003466,               0.003466
                     69,                 1.0047,                0.74936,                 1.2971,                 1.0915,                0.84448,                 1.3208,                0.87284,                0.82731,                0.89799,                0.61321,                 1.1455,                0.63478,                 1.4746,                 1.1894,                0.66872,                 1.4808,               0.003367,               0.003367,               0.003367
                     70,                 1.0077,                0.75703,                  1.297,                  1.092,                 0.8449,                 1.3196,                0.90065,                0.80047,                0.89482,                0.60706,                 1.1398,                0.64605,                 1.4725,                 1.1848,                0.67774,                 1.4865,               0.003268,               0.003268,               0.003268
                     71,                0.99553,                0.73689,                 1.2903,                 1.0788,                0.82053,                 1.3111,                0.88393,                 0.8171,                0.89372,                0.60887,                  1.143,                0.63559,                 1.4786,                 1.1856,                0.67613,                 1.4771,               0.003169,               0.003169,               0.003169
                     72,                0.99244,                0.73646,                 1.2938,                 1.0776,                0.82254,                 1.3141,                0.89475,                0.80168,                0.89505,                0.61195,                 1.1399,                0.63878,                 1.4726,                 1.1823,                0.66487,                 1.4827,                0.00307,                0.00307,                0.00307
                     73,                0.97975,                0.72976,                 1.2814,                 1.0626,                0.82525,                 1.3057,                0.89405,                0.80425,                0.89652,                0.61105,                 1.1247,                0.63799,                 1.4601,                 1.1784,                0.67144,                 1.4832,               0.002971,               0.002971,               0.002971
                     74,                 0.9795,                0.72623,                 1.2761,                 1.0668,                0.81568,                  1.301,                0.89206,                0.81657,                0.89584,                0.61302,                 1.1326,                0.63247,                 1.4656,                 1.1924,                0.66003,                 1.4799,               0.002872,               0.002872,               0.002872
                     75,                0.98526,                 0.7285,                 1.2853,                  1.066,                0.82462,                 1.3075,                0.89691,                0.81084,                0.89388,                 0.6131,                 1.1344,                0.63417,                 1.4618,                 1.1866,                0.66765,                 1.4741,               0.002773,               0.002773,               0.002773
                     76,                0.97902,                0.71986,                 1.2791,                 1.0597,                0.80656,                 1.3008,                0.90913,                0.79227,                0.89086,                0.60998,                  1.137,                0.63285,                 1.4644,                 1.1945,                0.66503,                 1.4802,               0.002674,               0.002674,               0.002674
                     77,                0.96779,                0.70629,                 1.2745,                 1.0486,                0.78715,                 1.2972,                 0.8847,                 0.8143,                 0.8918,                0.61098,                 1.1403,                0.63125,                 1.4686,                 1.1881,                0.67473,                 1.4747,               0.002575,               0.002575,               0.002575
                     78,                0.97713,                0.71917,                 1.2765,                 1.0577,                0.80975,                 1.2958,                0.89249,                 0.8143,                0.89073,                0.60976,                 1.1418,                0.62239,                  1.472,                 1.1905,                0.65725,                 1.4814,               0.002476,               0.002476,               0.002476
                     79,                 0.9657,                0.70799,                 1.2676,                 1.0412,                0.79864,                 1.2857,                0.90673,                0.80378,                0.89456,                0.61034,                 1.1426,                0.62488,                 1.4734,                 1.1908,                0.66083,                 1.4827,               0.002377,               0.002377,               0.002377
                     80,                0.95102,                0.69045,                 1.2581,                 1.0252,                0.78359,                 1.2755,                0.91187,                0.79755,                 0.8965,                0.61525,                  1.137,                 0.6237,                 1.4646,                 1.1799,                0.67703,                 1.4741,               0.002278,               0.002278,               0.002278
                     81,                0.94857,                0.68678,                 1.2584,                 1.0261,                0.77141,                 1.2805,                 0.8764,                0.82621,                0.89545,                0.61127,                 1.1365,                0.62863,                 1.4638,                 1.1825,                0.68068,                 1.4744,               0.002179,               0.002179,               0.002179
                     82,                0.95198,                0.67439,                 1.2551,                 1.0313,                 0.7586,                 1.2775,                0.87913,                0.82568,                0.89486,                0.61044,                 1.1411,                0.62565,                 1.4676,                 1.1844,                0.67194,                 1.4747,                0.00208,                0.00208,                0.00208
                     83,                0.94115,                0.67698,                 1.2499,                 1.0187,                0.76432,                 1.2714,                0.90861,                0.80119,                0.89569,                0.61378,                 1.1386,                0.62813,                 1.4654,                 1.1861,                0.66917,                 1.4723,               0.001981,               0.001981,               0.001981
                     84,                0.94514,                0.67295,                 1.2547,                 1.0234,                0.75863,                 1.2758,                0.87404,                0.81693,                0.89369,                0.61134,                 1.1385,                0.62505,                 1.4687,                  1.195,                0.65031,                 1.4872,               0.001882,               0.001882,               0.001882
                     85,                0.93121,                0.66554,                 1.2462,                 1.0026,                0.75392,                 1.2695,                0.89731,                0.80098,                0.89524,                0.61219,                 1.1414,                0.62342,                  1.476,                 1.1914,                0.66078,                 1.4917,               0.001783,               0.001783,               0.001783
