                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                 1.0535,                0.91222,                 1.3239,                 1.1443,                   1.02,                 1.3432,                0.85164,                0.79048,                0.85526,                 0.5584,                 1.1503,                0.75228,                 1.4782,                 1.2117,                0.76943,                 1.4985,               0.005248,               0.005248,               0.005248
                     51,                 1.0587,                0.92213,                 1.3279,                 1.1495,                 1.0282,                 1.3494,                0.86343,                0.76866,                0.85407,                0.54971,                 1.1517,                0.76211,                 1.4719,                 1.2132,                0.78677,                 1.5033,               0.005149,               0.005149,               0.005149
                     52,                 1.0518,                0.90032,                 1.3167,                 1.1451,                0.99415,                 1.3372,                0.86146,                0.76617,                 0.8471,                0.55162,                 1.1508,                0.75372,                 1.4753,                 1.2129,                0.77151,                 1.4913,                0.00505,                0.00505,                0.00505
                     53,                 1.0496,                0.90906,                 1.3188,                 1.1412,                 1.0144,                 1.3361,                0.84848,                 0.7946,                0.85287,                0.55438,                 1.1453,                  0.755,                 1.4598,                 1.2102,                0.77092,                 1.4867,               0.004951,               0.004951,               0.004951
                     54,                 1.0367,                0.88661,                 1.3067,                 1.1249,                0.98678,                 1.3244,                 0.8547,                0.78298,                0.85299,                0.55171,                 1.1562,                0.76562,                 1.4683,                 1.2256,                0.77502,                 1.4989,               0.004852,               0.004852,               0.004852
                     55,                  1.048,                0.87957,                 1.3138,                 1.1378,                  0.982,                 1.3333,                0.85921,                0.79771,                0.86265,                0.55401,                 1.1589,                0.74606,                 1.4664,                 1.2267,                0.76594,                 1.4983,               0.004753,               0.004753,               0.004753
                     56,                 1.0439,                0.88487,                 1.3122,                 1.1307,                0.98849,                 1.3289,                0.86584,                0.79764,                0.86152,                 0.5604,                 1.1496,                0.73409,                 1.4671,                 1.2143,                0.75904,                 1.4881,               0.004654,               0.004654,               0.004654
                     57,                 1.0418,                0.88526,                 1.3089,                 1.1249,                0.99216,                 1.3224,                0.84557,                0.79826,                0.86091,                0.56434,                 1.1359,                0.74209,                 1.4499,                 1.1963,                0.75132,                 1.4637,               0.004555,               0.004555,               0.004555
                     58,                 1.0285,                0.86209,                    1.3,                 1.1167,                0.95248,                 1.3177,                0.86936,                0.79103,                0.86337,                 0.5641,                 1.1537,                0.73998,                 1.4652,                 1.2161,                0.74736,                 1.4849,               0.004456,               0.004456,               0.004456
                     59,                 1.0235,                0.86406,                 1.2966,                 1.1135,                0.96214,                 1.3153,                0.85457,                0.78679,                0.85601,                0.56103,                 1.1566,                0.73734,                 1.4688,                 1.2022,                0.76005,                 1.4789,               0.004357,               0.004357,               0.004357
                     60,                 1.0153,                 0.8574,                 1.2953,                  1.104,                0.95149,                 1.3156,                0.84604,                 0.7966,                0.85451,                0.56665,                 1.1354,                0.73248,                 1.4577,                 1.1911,                0.77266,                 1.4739,               0.004258,               0.004258,               0.004258
                     61,                 1.0215,                0.84357,                 1.2982,                 1.1065,                0.93678,                 1.3209,                0.84618,                0.80542,                0.85555,                0.56942,                 1.1265,                0.73722,                 1.4526,                 1.1803,                 0.7766,                 1.4732,               0.004159,               0.004159,               0.004159
                     62,                 1.0212,                0.84324,                 1.2992,                 1.1013,                0.94037,                 1.3131,                0.85298,                0.78831,                0.85095,                0.56597,                 1.1255,                0.72306,                 1.4459,                 1.1873,                0.75423,                 1.4694,                0.00406,                0.00406,                0.00406
                     63,                 1.0056,                0.83963,                 1.2888,                 1.0935,                0.92967,                 1.3042,                0.86205,                0.80618,                0.87396,                0.57362,                 1.1284,                0.71703,                 1.4543,                 1.1868,                0.72707,                 1.4729,               0.003961,               0.003961,               0.003961
                     64,                 1.0094,                0.82865,                 1.2884,                  1.094,                 0.9192,                 1.3079,                 0.8622,                0.80461,                0.86672,                 0.5672,                 1.1274,                0.71716,                 1.4524,                 1.1765,                0.74363,                 1.4673,               0.003862,               0.003862,               0.003862
                     65,                 1.0048,                0.81556,                 1.2823,                 1.0884,                0.90409,                 1.3021,                0.85924,                0.79683,                0.86143,                0.56706,                 1.1287,                0.71237,                 1.4546,                 1.1738,                0.74936,                 1.4658,               0.003763,               0.003763,               0.003763
